latitude,longitude
37.495254,127.107417
37.495354,127.107755
37.495443,127.108073
37.495551,127.10841
37.495654,127.108736
37.495795,127.109195
37.495891,127.109492
37.495987,127.109805
37.496093,127.110142
37.496197,127.11048
37.496356,127.11041
37.496255,127.110073
37.496144,127.109736
37.49605,127.109421
37.495962,127.109123
37.495821,127.108658
37.495723,127.108339
37.495619,127.108005
37.495505,127.107669
37.495414,127.107348
37.492208,126.882247
37.492451,126.882341
37.492676,126.882452
37.492829,126.882691
37.492895,126.882976
37.493023,126.882904
37.492943,126.882584
37.492737,126.882285
37.492485,126.882164
37.492241,126.88207
37.486607,126.878862
37.48677,126.879122
37.486935,126.879354
37.487085,126.879551
37.487239,126.879726
37.488591,126.880704
37.488882,126.880811
37.489153,126.88094
37.489424,126.881064
37.489678,126.881181
37.489725,126.881013
37.489448,126.880902
37.489175,126.880779
37.488894,126.880659
37.488607,126.880537
37.487349,126.879562
37.487221,126.879355
37.487028,126.879235
37.486844,126.879017
37.486668,126.878747
37.562224,126.855889
37.562387,126.855993
37.562574,126.856115
37.562771,126.856239
37.562966,126.85637
37.563157,126.856504
37.563319,126.856621
37.563571,126.856807
37.563756,126.856944
37.563951,126.857091
37.564141,126.857235
37.564301,126.857358
37.564475,126.857488
37.564632,126.857607
37.564797,126.857732
37.564981,126.857871
37.565169,126.858014
37.565393,126.858184
37.565581,126.858324
37.565774,126.858468
37.56598,126.85862
37.56623,126.858807
37.566441,126.858965
37.566638,126.859112
37.566858,126.859276
37.567077,126.859541
37.567287,126.859697
37.56752,126.859869
37.567734,126.860013
37.567948,126.860151
37.568161,126.860306
37.568392,126.860477
37.568598,126.860628
37.568806,126.860782
37.569011,126.860934
37.569232,126.861098
37.569423,126.86124
37.569644,126.861403
37.569851,126.861557
37.562968,126.863651
37.563086,126.863462
37.563229,126.863236
37.563357,126.863035
37.563497,126.862813
37.563641,126.862584
37.563778,126.862368
37.563913,126.862151
37.564054,126.861929
37.564191,126.861728
37.564378,126.861519
37.564584,126.861352
37.564783,126.861169
37.564968,126.860974
37.565134,126.860759
37.565288,126.860533
37.565449,126.860283
37.565605,126.860057
37.565791,126.859866
37.566009,126.85969
37.566217,126.859535
37.566415,126.859415
37.566622,126.859366
37.566883,126.858814
37.566842,126.858594
37.566787,126.858363
37.566838,126.858125
37.566892,126.85787
37.567016,126.857673
37.567101,126.85743
37.567218,126.857242
37.567306,126.856989
37.56742,126.856775
37.567463,126.856542
37.567526,126.856415
37.567552,126.856165
37.567629,126.855938
37.567666,126.855701
37.567763,126.855517
37.567837,126.855299
37.567965,126.855115
37.568053,126.854904
37.568179,126.854727
37.568272,126.854512
37.568412,126.854307
37.568517,126.854065
37.56867,126.853845
37.569995,126.861282
37.569772,126.861163
37.569636,126.861015
37.569393,126.860882
37.569212,126.860703
37.56898,126.860576
37.568775,126.860379
37.568519,126.860235
37.568313,126.860039
37.568069,126.859895
37.567886,126.85969
37.567632,126.859527
37.567429,126.859328
37.567189,126.859192
37.566956,126.859081
37.566756,126.858975
37.566567,126.858796
37.566346,126.85867
37.566046,126.858409
37.565871,126.858318
37.565701,126.858154
37.565512,126.858053
37.565299,126.857856
37.565118,126.857766
37.564962,126.857611
37.564766,126.857508
37.564611,126.857357
37.564425,126.85726
37.564246,126.857089
37.56404,126.856983
37.563872,126.856817
37.563652,126.856698
37.56343,126.8565
37.56324,126.856403
37.563099,126.856263
37.562978,126.856213
37.562867,126.856097
37.562713,126.856031
37.5623,126.855735
37.567105,126.859448
37.56721,126.859517
37.56731,126.859598
37.567518,126.859757
37.567638,126.859841
37.567755,126.859928
37.567112,126.859241
37.56722,126.859326
37.567319,126.859403
37.567529,126.859562
37.567649,126.859646
37.567774,126.859746
37.56406,126.857271
37.564214,126.857561
37.56433,126.857919
37.564373,126.858265
37.564413,126.858609
37.564442,126.859015
37.564454,126.859402
37.564386,126.859696
37.564347,126.860016
37.564301,126.860294
37.566959,126.857561
37.566932,126.857238
37.566802,126.856995
37.566604,126.856821
37.566352,126.856795
37.566116,126.856914
37.565954,126.857115
37.56582,126.857364
37.565683,126.857602
37.565535,126.857854
37.564372,126.860593
37.5653,126.858251
37.565159,126.858494
37.565018,126.85874
37.564877,126.858998
37.56471,126.8593
37.564562,126.859603
37.564454,126.859893
37.564256,126.860397
37.566071,126.856855
37.565918,126.857041
37.564528,126.860782
37.565772,126.857293
37.565623,126.857534
37.565475,126.857806
37.565254,126.85818
37.565125,126.858411
37.564977,126.85866
37.564821,126.858936
37.564749,126.859191
37.564792,126.859587
37.564924,126.859848
37.564747,126.86085
37.565141,126.859992
37.565344,126.860028
37.566939,126.858979
37.566849,126.858825
37.566778,126.858565
37.566762,126.858275
37.566808,126.858017
37.566909,126.857747
37.567025,126.857483
37.567148,126.857237
37.564969,126.86079
37.567261,126.856988
37.567364,126.856734
37.567456,126.856411
37.567521,126.856079
37.567613,126.855762
37.567724,126.855471
37.567823,126.855237
37.56795,126.855036
37.568041,126.854846
37.56815,126.854647
37.565143,126.860577
37.568248,126.85446
37.568371,126.854247
37.568474,126.854028
37.568605,126.853829
37.56872,126.853586
37.568844,126.853384
37.568333,126.853602
37.568198,126.853848
37.568024,126.85412
37.567857,126.854399
37.565289,126.860322
37.56769,126.854681
37.567542,126.854939
37.567372,126.855211
37.567186,126.855461
37.567019,126.85571
37.566849,126.855959
37.566677,126.85622
37.566484,126.856469
37.566221,126.856653
37.566014,126.856757
37.565446,126.860049
37.565769,126.856846
37.565531,126.856909
37.565267,126.856966
37.565026,126.857022
37.564765,126.857076
37.564478,126.857053
37.564216,126.856914
37.563987,126.856752
37.563756,126.856572
37.565604,126.859794
37.565776,126.859492
37.565946,126.859174
37.566084,126.85884
37.566211,126.85841
37.566294,126.858099
37.566376,126.857806
37.566494,126.857545
37.566602,126.857316
37.566722,126.85713
37.566856,126.856901
37.566984,126.85667
37.567125,126.856427
37.567259,126.856187
37.5674,126.855973
37.567544,126.855745
37.563574,126.856931
37.563812,126.857153
37.564034,126.857437
37.56414,126.857691
37.564214,126.858017
37.564249,126.858325
37.564292,126.858665
37.564323,126.859044
37.56431,126.859447
37.564284,126.859794
37.564209,126.86014
37.564127,126.860481
37.563977,126.860786
37.563854,126.861074
37.563701,126.86134
37.563551,126.861587
37.563405,126.861847
37.56328,126.862067
37.563158,126.862336
37.56305,126.862562
37.562923,126.862778
37.562803,126.862986
37.562699,126.863169
37.562579,126.86338
37.564159,126.861618
37.564298,126.861384
37.564432,126.861158
37.564561,126.860933
37.564686,126.860723
37.564815,126.860509
37.564935,126.860293
37.565072,126.860073
37.565212,126.85983
37.565364,126.859581
37.565532,126.859303
37.565691,126.859021
37.565856,126.858745
37.565748,126.857096
37.565498,126.857076
37.565251,126.857124
37.564999,126.857172
37.564768,126.85719
37.562879,126.863611
37.563024,126.8634
37.56316,126.863185
37.563302,126.862972
37.563433,126.862753
37.563572,126.862536
37.563718,126.862314
37.563847,126.86213
37.564007,126.861863
37.56413,126.861697
37.564344,126.861463
37.564572,126.861264
37.564751,126.861095
37.564932,126.860908
37.565107,126.8607
37.565256,126.860481
37.565399,126.860241
37.565538,126.860045
37.565773,126.859788
37.565939,126.85966
37.56613,126.859517
37.566338,126.859387
37.566542,126.859311
37.566742,126.859313
37.573877,126.864774
37.573933,126.865026
37.573942,126.865258
37.573899,126.865508
37.57383,126.865707
37.573753,126.865943
37.573671,126.866191
37.573588,126.866433
37.573501,126.866698
37.573411,126.866971
37.573327,126.867229
37.573228,126.867528
37.573145,126.867774
37.573058,126.868038
37.573871,126.865799
37.573798,126.866144
37.573826,126.866477
37.574004,126.866747
37.574237,126.86684
37.574488,126.866761
37.574701,126.866487
37.574888,126.866163
37.575075,126.865841
37.575259,126.865518
37.575448,126.865189
37.570032,126.861691
37.570321,126.861907
37.570587,126.862103
37.570872,126.862313
37.571126,126.862502
37.571373,126.862686
37.571651,126.86289
